nome,endereco,telefone,whatsapp,instagram,email,categoria,tem_site,url_site,avaliacao,num_avaliacoes,cidade,bairro,link_maps
KS Cabeleireiros,"Av. Darcy Vargas, 286 - Gramacho, Duque de Caxias - RJ, 25035-250",21) 2652-9442,,,,salão de beleza,True,http://kscabeleireiros.vitrinevirtual.net/,4.8,,"Duque de Caxias, RJ",,
Salão Beleza Feminina,"R. Laerte Pereira da Costa, 7 - Loja B - Parque Fluminense, Duque de Caxias - RJ, 25045-090",21) 97583-3505,,,,salão de beleza,True,https://m.facebook.com/JosiBentoCunha/?locale2=pt_BR,5.0,,"Duque de Caxias, RJ",,
Rita de Cássia Studio de Beleza,"Av. Expedicionário José Amaro, 509 - loja B - Vila São Luis, Duque de Caxias - RJ, 25065-090",21) 97667-6805,,,,salão de beleza,True,https://www.instagram.com/studioritadcassia?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,4.9,,"Duque de Caxias, RJ",,
Gaby Hair Duque de Caxias,"Na frente da Rio Bel - R. Mariano Sendra dos Santos, Loja 16 Quadra 06 - Duque de Caxias, RJ, 25010-080",21) 98004-9456,,,,salão de beleza,True,http://gabyhair.com.br/,4.9,,"Duque de Caxias, RJ",,
Studio Lidia Gomes,"R. José Veríssimo, 70 - Vila Meriti, Duque de Caxias - RJ, 21235-350",21) 2671-4026,,,,salão de beleza,True,https://megamaravilhosahair.com.br/,4.9,,"Duque de Caxias, RJ",,
Wellington & Odair,"entrada do - Avenida Francisco Faleiro de Freitas Lima, 35 Vila Leopoldina - Jardim Leal, Duque de Caxias - RJ, 25035-030",21) 95918-7059,,,,salão de beleza,True,https://wa.me/5521959187059,5.0,,"Duque de Caxias, RJ",,
Ingrid Pereira | Beauty Studio | Cílios e sobrancelhas em Duque de Caxias,"Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25070-420",21) 99008-8651,,,,salão de beleza,True,https://wa.link/ukeagq,5.0,,"Duque de Caxias, RJ",,
Luminou's Coiffeur,"R. Prudente de Moraes, 760 - Vila São Luis, Duque de Caxias - RJ, 25070-235",21) 97345-4292,,,,salão de beleza,False,,5.0,,"Duque de Caxias, RJ",,
Salão Java - O número 1 das celebridades Caxienses,"Av. Leandro da Mota, 698 - Vila Sao Sebastiao, Duque de Caxias - RJ, 25065-175",,,,,salão de beleza,False,,4.9,,"Duque de Caxias, RJ",,
"Iasmim Raquel Beauty - Maquiagem, Penteado & Trança em Duque de Caxias, RJ","Rua tenente José Wilson da silva, 57 - Centro, Duque de Caxias Parque - Parque Laguna e Dourados, Duque de Caxias - RJ, 25011-380",21) 96673-2849,,,,salão de beleza,True,https://bio.site/iasmimraquelbeauty,5.0,,"Duque de Caxias, RJ",,
Só Vitória Cabeleireiros Unissex,"R. Dr. Carlos Esteves, 360 - Vila São Luis, Duque de Caxias - RJ, 25065-005",21) 99222-8426,,,,salão de beleza,True,http://bit.ly/sovitoriacabeleireiros,4.9,,"Duque de Caxias, RJ",,
Nj Lacerda Studio De Beleza,"R Professor José de Souza Herdy, 353 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-202",21) 97960-2218,,,,salão de beleza,False,,4.9,,"Duque de Caxias, RJ",,
Espaço das pretas/Rosicler Vieira - Salão especializado em mega hair-entrelace-ponto americano,"no Uber - Rua Jaboticabal 15 qd 86, n° 475 - Jardim Gramacho, Duque de Caxias - RJ, 25056-280",,,,,salão de beleza,True,https://wa.me/message/JEN2NFUGRSZ5G1,4.8,,"Duque de Caxias, RJ",,
💈Barber Shop Bello a sua Barbearia,"R. Álvaro Lins, 02 - Parque Vitoria, Duque de Caxias - RJ, 25045-490",21) 99332-9145,,,,barbearia,True,https://bit.ly/barbershop-bello,5.0,,"Duque de Caxias, RJ",,
JS Barbearia,"R. Santo Elías, 14 - Divino, Duque de Caxias - RJ, 25046-340",21) 96955-7384,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
Barbearia Souza,"Av. Governador Leonel de Moura Brizola, 10349 - São Bento, Duque de Caxias - RJ, 25045-437",21) 99143-4153,,,,barbearia,True,https://sites.google.com/view/barbearia-souza/,4.6,,"Duque de Caxias, RJ",,
Studio Lore Coiffeur,"R. Tabocas, 23 - Parque Fluminense, Duque de Caxias - RJ, 25046-450",21) 99762-0208,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
Barbearia LD,"R. Miguelote Viana - Nossa Sra. das Gracas, Duque de Caxias - RJ, 25046-230",21) 99456-8230,,,,barbearia,True,https://www.instagram.com/barberld2019/,5.0,,"Duque de Caxias, RJ",,
Barbearia Ferreira,"Rua Itaituba, 101 - Nossa Sra. das Gracas, Duque de Caxias - RJ, 25046-230",21) 95905-0343,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
Barbearia Dr. Hollywood,"R. Projetada J, Quadra g - lote 10 - Lote XV, Belford Roxo - RJ, 26185-521",21) 97641-0670,,,,barbearia,True,https://www.instagram.com/eu_vtsilva.96/,5.0,,"Duque de Caxias, RJ",,
BARBEARIA DO A.R,"R. José Ferreira - Parque Veneza, Belford Roxo - RJ, 26183-490",,,,,barbearia,False,,,,"Duque de Caxias, RJ",,
Barbearia do Greysson,"R. Abrolhos, 14 - Parque Fluminense, Duque de Caxias - RJ, 25046-540",21) 96758-8936,,,,barbearia,False,,,,"Duque de Caxias, RJ",,
Barbearia Cleiton Cortes,"Acondominio Residencial Parque Fluminense - Av. Gen. Carlos Marciano de Medeiros, 305 - Parque Fluminense, Duque de Caxias - RJ, 25045-100",21) 99488-1118,,,,barbearia,False,,4.8,,"Duque de Caxias, RJ",,
Barbearia ligeirinho do corte,"R. Urubuana, 116 - São Bento, Duque de Caxias - RJ, 25045-440",21) 98225-4737,,,,barbearia,False,,,,"Duque de Caxias, RJ",,
Barbearia do Shey,"Av. Gen. Carlos Marciano de Medeiros :14, Qd: 79 - Parque Fluminense, Duque de Caxias - RJ",,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
Dudu Barbearia,"avenida general Carlos marciano de Medeiros Av Gal Carlos Marciano de Medeiros Lt 8, Qd 2 - Parque Fluminense, Duque de Caxias - RJ, 25045-100",21) 98352-3817,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
J&L studio salão e barbearia,"Rua Álvparuqe vitoriaaro Lins, Duque de Caxias - RJ, 25025-500",21) 97720-8746,,,,barbearia,False,,,,"Duque de Caxias, RJ",,
Barbearia Vitor Souza,"R. Cearense, 2 - São Bento, Duque de Caxias - RJ, 25265-008",,,,,barbearia,True,https://instagram.com/vt_barbeiiro?igshid=zre1fbqoukhs,5.0,,"Duque de Caxias, RJ",,
Barbearia & Escola De Barbeiro,"Rua Sambaetiba - Vila Rosário, Duque de Caxias - RJ, 25041-230",21) 97061-4040,,,,barbearia,False,,5.0,,"Duque de Caxias, RJ",,
Salão do Lorinho,"R. Beira Linha, 40 - São Bento, Duque de Caxias - RJ, 25046-120",21) 97689-8685,,,,barbearia,False,,4.9,,"Duque de Caxias, RJ",,
Wellington & Odair,"entrada do - Avenida Francisco Faleiro de Freitas Lima, 35 Vila Leopoldina - Jardim Leal, Duque de Caxias - RJ, 25035-030",21) 95918-7059,,,,barbearia,True,https://wa.me/5521959187059,5.0,,"Duque de Caxias, RJ",,
Barbearia Do Zé Carlos,"R. Setúbal, 42 - Parque Veneza, Belford Roxo - RJ, 26186-630",,,,,barbearia,False,,3.4,,"Duque de Caxias, RJ",,
CSH Barbearia,"R. Saldanha Marinho, 105 - Parque Sr. do Bonfim, Duque de Caxias - RJ, 25025-065",,,,,barbearia,False,,4.9,,"Duque de Caxias, RJ",,
Clínica Sorria Penha - Unidade Caxias,"Av. Nilo Peçanha, 272 - Duque de Caxias, RJ, 25010-144",21) 98799-1162,,,,clínica médica,True,http://www.sorriapenha.com.br/,4.9,,"Duque de Caxias, RJ",,
Clínica Popular Dra. Saúde - Duque de Caxias - RJ,"R. São Luís, 66 - Pilar, Duque de Caxias - RJ, 25235-150",21) 3654-1098,,,,clínica médica,True,https://www.facebook.com/clinicadrasaude/,2.6,,"Duque de Caxias, RJ",,
Centro Médico do Lote XV,"Avenida Governador Leonel de Moura Brizola, R. Projetada C - Lote XV, Belford Roxo - RJ, 26183-250",21) 2699-3089,,,,clínica médica,False,,4.2,,"Duque de Caxias, RJ",,
Dra. Saúde Clínica Médica,"Av. Governador Leonel de Moura Brizola, 13.550 - Pilar, Duque de Caxias - RJ, 25225-430",21) 3654-1098,,,,clínica médica,False,,3.3,,"Duque de Caxias, RJ",,
Clínica Médica Santa Martha,"Avenida Governador Leonel de Moura Brizola, S/N Lt 24 Qd. 10 Lj A - Pilar, Duque de Caxias - RJ, 25230-610",21) 99737-0864,,,,clínica médica,True,https://www.instagram.com/clinica_santa_martha?igsh=MXIxNmlsMWpxemd5aA==,3.0,,"Duque de Caxias, RJ",,
Centro Médico Santa Cruz da Serra,"R. Vanisia, 10 - Santa Cruz da Serra, Duque de Caxias - RJ, 25240-280",21) 3939-3963,,,,clínica médica,True,https://cmsantacruz.web.app/,3.4,,"Duque de Caxias, RJ",,
Clínica Rio D'Ouro,"Estrada Rio D'ouro, 1026A - Mantiquira, Duque de Caxias - RJ, 25245-810",21) 97125-4050,,,,clínica médica,False,,4.9,,"Duque de Caxias, RJ",,
CLÍNICA MÉDICA MAXIMUS - Duque de Caxias,"R. Mal. Deodoro, 557 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-190",21) 96519-3749,,,,clínica médica,True,https://clinicaperforman.com.br/,5.0,,"Duque de Caxias, RJ",,
"Dr. Filipe Kruger, Nefrologista","R. Mal. Deodoro, 392 - sala 506 - Centro, Duque de Caxias - RJ, 25071-220",21) 97969-4392,,,,clínica médica,True,https://drfilipekruger.com.br/,5.0,,"Duque de Caxias, RJ",,
Bem Estar,"R. José de Alvarenga, 528 - Centro, Duque de Caxias - RJ, 25020-140",21) 3848-0808,,,,clínica médica,True,http://www.bemestar8.com.br/,4.2,,"Duque de Caxias, RJ",,
Clínica Garcia,"Av. Nilo Peçanha, 185 - loja 15 - Centro, Duque de Caxias - RJ, 25010-142",,,,,clínica médica,False,,5.0,,"Duque de Caxias, RJ",,
Clínica Médica LongLife,"R. Francisca de Melo, 136 - Centro, Nova Iguaçu - RJ, 26210-270",21) 2698-6134,,,,clínica médica,True,http://cmlonglife.com.br/,3.0,,"Duque de Caxias, RJ",,
Clínica Médico Radiologia e Fisioterápica João Franco,"R. Capineira, 460 - Centro, Duque de Caxias - RJ, 25020-140",21) 2653-2707,,,,clínica médica,False,,,,"Duque de Caxias, RJ",,
Clínica LeVittê - Filial Santa Cruz da Serra,"Av. Automóvel Clube, 787 - Lote 19 - Quadra 26 - Santa Cruz da Serra, Duque de Caxias - RJ, 25255-030",21) 2654-9038,,,,clínica médica,True,http://www.levitte.com.br/,4.2,,"Duque de Caxias, RJ",,
Clínica Soares Alves,"R. Ten. José Dias, 392 - Centro, Duque de Caxias - RJ, 25010-305",21) 2652-2700,,,,clínica médica,False,,4.2,,"Duque de Caxias, RJ",,
Mecânico fiel,"R. Sérgio Pôrto - Parque Vitoria, Duque de Caxias - RJ, 25045-490",21) 98210-3513,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
Dinamicar Pneus,"Av. Brg. Lima e Silva, 1100 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-181",21) 3030-0033,,,,oficina mecânica,True,http://www.dinamicarpneus.com.br/nossas-lojas/duque-de-caxias/,4.5,,"Duque de Caxias, RJ",,
F.Car Auto Center,"Tv. Pres. Kenedy - Lote XV, Duque de Caxias - RJ, 26185-533",,,,,oficina mecânica,False,,3.0,,"Duque de Caxias, RJ",,
ChibalCar Oficina Mecanica,"Coriolano, Duque de Caxias - RJ, 25040-003",21) 97678-1648,,,,oficina mecânica,False,,4.8,,"Duque de Caxias, RJ",,
Auto Teste Manutenção Auto elétrica de Caminhão em Duque de Caxias,"R. Francisco Portela, 75 - Jardim Gramacho, Duque de Caxias - RJ, 25055-210",21) 99068-6322,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
RJS AUTO CENTER,"Av. República do Paraguai, 402 - Gramacho, Duque de Caxias - RJ, 25050-100",21) 98293-2556,,,,oficina mecânica,False,,4.6,,"Duque de Caxias, RJ",,
OFICINA MECANICA Dito e Feito,"R. Sete de Janeiro - São Bento, Duque de Caxias - RJ, 25045-034",21) 3069-7106,,,,oficina mecânica,False,,4.8,,"Duque de Caxias, RJ",,
CG car auto mecânica TH auto elétrica e ar condicionado,"Rua - Pantanal, Duque de Caxias - RJ, 25040-317",,,,,oficina mecânica,False,,4.6,,"Duque de Caxias, RJ",,
Oficina Mecânica Tucumã,"Av. Pres. Kennedy, 5048 - Gramacho, Duque de Caxias - RJ, 25035-008",21) 2771-9120,,,,oficina mecânica,False,,4.1,,"Duque de Caxias, RJ",,
Oficina mecânica nova geração ltda,"R. Graciliano Ramos - Carolina, Duque de Caxias - RJ, 25060-070",21) 98669-1202,,,,oficina mecânica,False,,,,"Duque de Caxias, RJ",,
Oficina Mecânica Shallom,"Av. Winston Churchill, 603 - Parque Centenario, Duque de Caxias - RJ, 25025-237",21) 98269-6792,,,,oficina mecânica,False,,4.8,,"Duque de Caxias, RJ",,
Educar Mecânica,"R. Pinto Líra, 252 - Engenho do Porto, Duque de Caxias - RJ, 25015-260",21) 98933-8416,,,,oficina mecânica,False,,4.8,,"Duque de Caxias, RJ",,
Oficina Mecânica RN,"R. da Gávea - Dr. Laureano, Duque de Caxias - RJ, 25060-300",21) 99701-6856,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
Natural Garagem,"R. Tarija, 21 - Jardim Primavera, Duque de Caxias - RJ, 25225-660",21) 97520-2691,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
Auto Tires Oficina,"R. Olegário Mariano, 1274 - Vila São Luis, Duque de Caxias - RJ, 25065-187",21) 2782-6026,,,,oficina mecânica,False,,4.4,,"Duque de Caxias, RJ",,
Ma Mecânica Automotiva,"R. Mal. Arruda Câmara, 273 - Parque Felicidade, Duque de Caxias - RJ, 25080-225",,,,,oficina mecânica,False,,4.9,,"Duque de Caxias, RJ",,
SOS Mecânica Cambio automático,"Estr. do Mirante, 2 - Santa Isabel - Pilar, Duque de Caxias - RJ, 25265-008",21) 96606-0053,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
Auto Mecânica Space Car,"R. Alcobaça, 32 - Jardim Gramacho, Duque de Caxias - RJ, 25051-210",21) 99866-9117,,,,oficina mecânica,False,,4.9,,"Duque de Caxias, RJ",,
Oficina do Maicon,"R. Caturité, 244 - Vila Leopoldina, Duque de Caxias - RJ, 25060-235",,,,,oficina mecânica,False,,5.0,,"Duque de Caxias, RJ",,
Ms Mecânica avançada,"Av. Automóvel Clube, 548 - Santa Cruz da Serra, Duque de Caxias - RJ, 25260-000",21) 3491-8980,,,,oficina mecânica,False,,4.8,,"Duque de Caxias, RJ",,
Ração Caxias - MF7 Agro & Pet - Parque Fluminense - Duque de Caxias,"Av. Gen. Carlos Marciano de Medeiros - Parque Fluminense, Duque de Caxias - RJ, 25040-004",21) 97121-3433,,,,pet shop,False,,4.9,,"Duque de Caxias, RJ",,
"Bem-Estar Pets, Centro Estético","R. Laerte Pereira da Costa, 1 - QUADRA F CASA 3 - Parque Fluminense, Duque de Caxias - RJ, 25045-090",21) 98985-2189,,,,pet shop,False,,4.9,,"Duque de Caxias, RJ",,
Pet Care Pet Shop (Banho & Tosa Pet Care),"R. Beira Linha, 73 - Jardim Vila Nova, Duque de Caxias - RJ, 25045-640",21) 98090-1757,,,,pet shop,True,https://instagram.com/petcarepetshop?igshid=MWI4MTIyMDE=,4.8,,"Duque de Caxias, RJ",,
Meu Pet Shop,"R. Assis Chateaubriand, 94 - Parque Vitoria, Duque de Caxias - RJ, 25045-540",21) 98856-7025,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Grão de Bicho Pet Shop,"R. Beira Linha, 73 - Jardim Vila Nova, Duque de Caxias - RJ, 25045-366",21) 98369-0777,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
For Pet Camas e Acessórios,"R. Manoel Jorge da Costa - São Bento, Duque de Caxias - RJ, 25045-550",21) 99822-6867,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Pet Shop Gato Félix/ Gilson Wallace,"R. Guimarães Rosa, Lote 14 - Quadra 10 - Jardim Gloria, Duque de Caxias - RJ, 25046-050",21) 3901-9091,,,,pet shop,False,,4.7,,"Duque de Caxias, RJ",,
Mega Pet Pet Shop,"Av. Gen. Carlos Marciano de Medeiros, 1150 - Parque Fluminense, Duque de Caxias - RJ, 25045-100",21) 96922-4588,,,,pet shop,True,https://sites.google.com/view/mega-pet-caxias/p%C3%A1gina-inicial,4.6,,"Duque de Caxias, RJ",,
MF7 Agro & Pet - Gramacho - Duque de Caxias,"Av. Darcy Vargas, 536 - Gramacho, Duque de Caxias - RJ, 25035-250",21) 99691-7517,,,,pet shop,False,,4.9,,"Duque de Caxias, RJ",,
Animalia Clube,"Av. Governador Leonel de Moura Brizola, 9777 - São Bento, Duque de Caxias - RJ, 25045-437",21) 96708-0217,,,,pet shop,True,https://www.instagram.com/animaliaclube,5.0,,"Duque de Caxias, RJ",,
Rosa de Saron - Banho e tosa,"R. Assis Chateaubriand, 94 - Parque Vitoria, Duque de Caxias - RJ, 25045-540",21) 96847-1127,,,,pet shop,True,http://instagram.com/banhoetosa.rodasdesaron,5.0,,"Duque de Caxias, RJ",,
PARAÍSO DOS ANIMAIS SÃO BENTO,"R. Luiz César, n° 4 - Jardim Vila Nova, Duque de Caxias - RJ, 25045-340",21) 4125-8623,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Astro Pet,"Rua Água Marinha, 275 - Vila Sarapui, Duque de Caxias - RJ, 25050-190",21) 97137-2350,,,,pet shop,True,https://www.instagram.com/astro.petshop/,4.9,,"Duque de Caxias, RJ",,
DG Pet Raçoes,"R. Eça de Queiroz, 170 - Pantanal, Duque de Caxias - RJ, 25040-350",21) 97671-1200,,,,pet shop,True,https://dgpetsracoes.sualojaonline.app/,5.0,,"Duque de Caxias, RJ",,
Pet shop em Duque de Caxias- Pais e Filhos,"Av. Dep. Almeida Franco, 1233 - Jardim Olavo Bilac, Duque de Caxias - RJ, 25036-270",21) 98847-1613,,,,pet shop,False,,4.6,,"Duque de Caxias, RJ",,
Pés & Patas Duque de Caxias - Prezunic,"R. Capineira, 95 A - Centro, Duque de Caxias - RJ, 25020-140",21) 3845-3976,,,,pet shop,True,http://www.pesepatas.com.br/,4.5,,"Duque de Caxias, RJ",,
Rafa's Pet,"R. Urbano Duarte, 143B - Vila Rosário, Duque de Caxias - RJ, 25265-008",21) 99394-5453,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Reino Pet Pantanal,"R. Lauro Sodré - Pantanal, Duque de Caxias - RJ, 25040-560",21) 97929-3656,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Shopping Dos Animais,"Av. Pres. Tancredo Neves, 801 - Vila Itamarati, Duque de Caxias - RJ, 25070-096",3062-7901,,,,pet shop,False,,4.3,,"Duque de Caxias, RJ",,
UniPatas Pet Shop,"Av. Darcy Vargas, 17 - Gramacho, Duque de Caxias - RJ, 25035-250",21) 98663-6097,,,,pet shop,False,,5.0,,"Duque de Caxias, RJ",,
Feirão de Caxias,"Rod. Washington Luiz, 6716 - Loja 120 - Jardim Gramacho, Duque de Caxias - RJ, 25065-007",24) 99312-4532,,,,loja de roupas,False,,4.3,,"Duque de Caxias, RJ",,
Morena Vip,"R. Apiacás, 388 - Loja 08 - Taquara, Rio de Janeiro - RJ, 22730-190",21) 98050-3110,,,,loja de roupas,True,http://www.morenavip.com.br/,5.0,,"Duque de Caxias, RJ",,
Adrimar boutique,"R. Dois, 48 - jardim colina, Duque de Caxias - RJ, 25045-395",21) 97953-9384,,,,loja de roupas,False,,4.7,,"Duque de Caxias, RJ",,
5k jeans - Loja de Roupas Gramacho - Duque De Caxias,"Av. Darcy Vargas, 1165 - Vila Leopoldina, Duque de Caxias - RJ, 25035-250",21) 96020-5589,,,,loja de roupas,True,https://keepo.io/5kjeans,5.0,,"Duque de Caxias, RJ",,
Loja Basique,"Av. Expedicionário José Amaro, 953 - Vila São Luis, Duque de Caxias - RJ, 25065-090",21) 98216-3669,,,,loja de roupas,True,https://lojabasique.com.br/,4.7,,"Duque de Caxias, RJ",,
Feirão de Malhas,"Rod. Washington Luiz, n° 6720 - Jardim Gramacho, Duque de Caxias - RJ, 25065-007",24) 99291-8725,,,,loja de roupas,True,https://wa.me/5524992918725,4.5,,"Duque de Caxias, RJ",,
Feirão das Malhas de Primavera,"Rod. Washington Luiz, 13620 - Jardim Primavera, Duque de Caxias - RJ, 25213-005",21) 2773-8406,,,,loja de roupas,False,,4.5,,"Duque de Caxias, RJ",,
FEIRÃO AZUL - ATACADO E VAREJO,"FEIRÃO AZUL - Rod. Washington Luiz, 3990 - Jardim Gramacho, Duque de Caxias - RJ, 25065-007",21) 96768-6951,,,,loja de roupas,True,http://instagram.com/feiraoazul,4.4,,"Duque de Caxias, RJ",,
