nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao
IFRJ - Campus Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,ascom.cduc@ifrj.edu.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
JML Imóveis,"Duque de Caxias, RJ",,,,,,False,jml@jmlimoveis.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Jomasa Imóveis,"Duque de Caxias, RJ",,,,,,False,boletoemdia@jomasaimoveis.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Kalunga - Caxias Shopping,"Duque de Caxias, RJ",,,,,,False,regularize@kalunga.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Kingdom Idiomas,"Duque de Caxias, RJ",,,,,,False,duquedecaxias01@knnidiomas.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Leo Madeiras - Loja Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,controladoria.leo@leomadeiras.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Lilitex Auto Vidros,"Duque de Caxias, RJ",,,,,,False,administrativo@lilitex.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Lojas 3B,"Duque de Caxias, RJ",,,,,,False,flaviaortiz@lojas3b.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
MadeiraMadeira - Loja de Móveis e Artigos para Casa,"Duque de Caxias, RJ",,,,,,False,fernando.herculano@madeiramadeira.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Microlins Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,beth@microlinsrio.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Oral Unic Implantes Duque de Caxias | Implantes Dentários | Clínica Odontológica | Dentistas Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,recepcao@oralunicduquedecaxias.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Pandora Rio Moda Plus Size,"Duque de Caxias, RJ",,,,,,False,pandora@pandorario.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Placar Imobiliaria,"Duque de Caxias, RJ",,,,,,False,viniciusgullo@placarimoveis.net,comercial,negocio_direto,100,dominio proprio com sinal de marca
Prezunic - Caxias Centro,"Duque de Caxias, RJ",,,,,,False,sacprezunic@prezunic.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Prezunic - Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,sacprezunic@prezunic.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Real Vidros Rj,"Duque de Caxias, RJ",,,,,,False,realvidros2009@realvidrosrj.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Restaurante Bistrô Mont Blanc Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,bistrocaxias@redemontblanc.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Restaurante Gigante Nordestino,"Duque de Caxias, RJ",,,,,,False,amfonseca@gigantenordestino.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Shopping Matriz Móveis de Escritório e Móveis de Aço - Caxias,"Duque de Caxias, RJ",,,,,,False,vendasweb@shoppingmatriz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Sonho dos Móveis,"Duque de Caxias, RJ",,,,,,False,rh@sonhodosmoveis.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Sorridents Duque de Caxias,"Duque de Caxias, RJ",,,,,,False,rj.duquecaxias@sorridents.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Sr. Barbeiro Store - Produtos para Barbearia,"Duque de Caxias, RJ",,,,,,False,srbarbeirostore@gmail.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Studio de Pilates e Fisioterapia Andreia Novanta,"Duque de Caxias, RJ",,,,,,False,andreianovanta@oi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Supermercados Guanabara,"Duque de Caxias, RJ",,,,,,False,guanabara@supermercadosguanabara.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
UOMAN - Caxias,"Duque de Caxias, RJ",,,,,,False,anthony@uoman.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Veterinária Quatro Patas (Bairro Centenário Caxias),"Duque de Caxias, RJ",,,,,,False,vet4patas@vet4patas.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Vip Clean Lavanderia,"Duque de Caxias, RJ",,,,,,False,vipclean@vipclean.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Widmen Caxias - Troca de Pneus e Oficina,"Duque de Caxias, RJ",,,,,,False,widmen@widmen.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Ápice Saúde - Centro Médico Policon,"Duque de Caxias, RJ",,,,,,False,paula@policonsaude.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Centro Médico Caxias,"Duque de Caxias, RJ",clínica médica,21) 2673-4466,"R. Dep. Ampliato Cabral, 151 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25070-370",3.4,,False,zelia@centromedicocaxias.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Cetem Brasil,"Duque de Caxias, RJ",curso pré-vestibular,21) 97116-3246,"RJ-101, 1243 - SL 304/305 - Centro, Duque de Caxias - RJ, 25010-007",5.0,,False,faleconosco@cetembrasil.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Drogaria Nacional Gramacho,"Duque de Caxias, RJ",farmácia,21) 2672-0000,"Av. Darcy Vargas, 910 - loja B e loja C - Gramacho, Duque de Caxias - RJ, 25035-250",1.0,,False,nacional@nacional.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
"Cachorro Quente do Russo - Duque de Caxias, Rio de Janeiro","Duque de Caxias, RJ",lanchonete,21) 96921-3360,"Av. Dr. Plínio Casado, 309 - Loja 02 - Centro, Duque de Caxias - RJ, 25020-010",4.5,,False,russo@cachorroquentedorusso.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
RM INFORMÁTICA,"Duque de Caxias, RJ",loja de celulares,21) 96410-3966,"L: 16 / Q: 15 - Sem Numero, Rua: Delgado de Carvalho - Pantanal, Duque de Caxias - RJ, 25040-240",4.4,,False,ricardo.michel@rminformaticaam.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Cedro,"Duque de Caxias, RJ",loja de roupas,21) 3774-3888,"Av. Governador Leonel de Moura Brizola, 1777 - Centro, Duque de Caxias - RJ, 25010-009",4.3,,False,francisco.smelo@cedro.ind.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
TORQUE AUTO SERVICE,"Duque de Caxias, RJ",oficina mecânica,21) 3845-0769,"R. Elías Francisco Paris, 337 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25075-110",4.8,,False,agendamento@torqueautoservice.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Tradição das Tintas,"Duque de Caxias, RJ",pintor,21) 3651-5323,"Av. Darcy Vargas, 1160 - Gramacho, Duque de Caxias - RJ, 25035-250",4.1,,False,tintasapollo@tintasapollo.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Advogado Joseph Piñeiro - Itaguaí,"Itaguaí, RJ",,,,,,False,itaguai@oabrj.org.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
AmorSaúde Itaguaí,"Itaguaí, RJ",,,,,,False,itaguai.rj@amorsaude.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Cityfarma,"Itaguaí, RJ",,,,,,False,lojascontato@cityfarma.com.brwebmailseg,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Doce Vida - Itaguaí/RJ,"Itaguaí, RJ",,,,,,False,recrutamento@confeitariadama.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria da Ray,"Itaguaí, RJ",,,,,,False,recrutamento@confeitariadama.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Contemp,"Itaguaí, RJ",,,,,,False,contemp@oi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Costa & Costa Sociedade de Advogados,"Itaguaí, RJ",,,,,,False,advcostaecosta@costaecosta.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Drogaria Atual 320,"Itaguaí, RJ",,,,,,False,noemia@drogariasatual.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Drogaria Atual Bocaiuva,"Itaguaí, RJ",,,,,,False,noemia@drogariasatual.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
GRUPO SENIOR - SOLUÇÕES INTEGRADAS DE CONTABILIDADE,"Itaguaí, RJ",,,,,,False,nilton@gruposenior.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
H10 Store,"Itaguaí, RJ",,,,,,False,videos@h10.store_on,comercial,negocio_direto,100,dominio proprio com sinal de marca
Loja Vivo,"Itaguaí, RJ",,,,,,False,mrrosa@vivo.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
M&D Imobiliária,"Itaguaí, RJ",,,,,,False,proposta@mdimobiliaria.com.brescritório,comercial,negocio_direto,100,dominio proprio com sinal de marca
Oberg Ferraz Advogados Associados,"Itaguaí, RJ",,,,,,False,obergferraz@obergferraz.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Periódica Saúde,"Itaguaí, RJ",,,,,,False,glaucevaz@periodicasaude.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Vitor iSolder - Assistência Técnica Apple,"Itaguaí, RJ",,,,,,False,vitororth@wupper.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Évora Farma,"Itaguaí, RJ",,,,,,False,e-mailola@evorafarma.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Carol - Itaguaí I - Centro,"Itaguaí, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Diniz - Itaguaí Matriz,"Itaguaí, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Matriz - Itaguaí,"Itaguaí, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Raiz Itaguaí,"Itaguaí, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Siquineli,"Itaguaí, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Estela Bolos,"Itaguaí, RJ",confeitaria,21) 98556-9556,"Av. Pref. Isoldakson Cruz De Brito, 0 - loja a - Vila Margarida, Itaguaí - RJ, 23821-090",5.0,,False,recrutamento@confeitariadama.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Droga Raia,"Itaguaí, RJ",farmácia,21) 99543-9254,"Av. Dep. Octávio Cabral, 79 - Centro, Itaguaí - RJ, 23810-301",4.3,,False,rac@drogaraia.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ramos Plantas,"Itaguaí, RJ",floricultura,21) 97444-7233,"Rodovia Prefeito Abeilard Goulart de Souza, 17 - Santana, Itaguaí - RJ, 23811-430",4.6,,False,rac@ramos.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Celso Cabral Imóveis,"Itaguaí, RJ",imobiliária,21) 99700-2860,"Rua Magdalena Tortorrelli, 20 - Brisamar, Itaguaí - RJ, 23825-590",5.0,,False,celsocabralimoveis@mail.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
SelFi Jóias e Relógios,"Itaguaí, RJ",joalheria,21) 99180-9837,"Rua Zoleide do Espírito Santo Castro sem número lote 63, Itaguaí - RJ, 23822-195",5.0,,False,administrativo@visagejoias.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Balcão do Celular,"Itaguaí, RJ",loja de celulares,21) 2688-2169,"Av. Pref. Ismael Cavalcanti, 398 - Centro, Itaguaí - RJ, 23815-290",4.3,,False,balcao@balcaodorio.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Atacadão Carolina Móveis,"Itaguaí, RJ",loja de móveis,,"R. Dr. Curvelo Cavalcanti - Engenho, Itaguaí - RJ, 23815-292",2.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Rede Mega Moveis,"Itaguaí, RJ",loja de móveis,21) 2688-8050,"Centro, Itaguaí - RJ, 23810-305",4.8,,False,logistica@redemegamoveis.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Grupo TMC Itaguaí,"Itaguaí, RJ",material de construção,21) 99985-9709,"Av. Dep. Octávio Cabral, Lote 10 - quadra 102 - Jardim America, Itaguaí - RJ, 23810-305",4.8,,False,escritorio@grupotmc.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Empório do Pão,"Itaguaí, RJ",padaria,,"R. Benito Juarez, 21 - LJ A - Parque Paraíso, Itaguaí - RJ, 23815-020",4.7,,False,ticiana@emporiodopao.com,cnpj,negocio_direto,100,dominio proprio com sinal de marca
SHOPMIX PAPELARIA,"Itaguaí, RJ",papelaria,21) 2688-5959,"R. Moisés Abraão, 64 - Loja A - Centro, Itaguaí - RJ, 23815-460",4.2,,False,faleconosco@dropshopmix.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
ATACADAO HORTIFRUTI,"Itaguaí, RJ",supermercado,,"Estr. Ari Parreiras, 964 - Engenho, Itaguaí - RJ, 23820-302",4.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
CCAA Engenheiro Pedreira,"Japeri, RJ",,,,,,False,engenheiropedreira@ccaa.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
M.R. Freitas Advocacia,"Japeri, RJ",,,,,,False,mrfreitas@mrfreitas.adv.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Rede Kibarato,"Japeri, RJ",,,,,,False,pedidos@redekibarato.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Sammy Semijoias,"Japeri, RJ",,,,,,False,sammysemijoias@gmail.cominstagram,comercial,negocio_direto,100,dominio proprio com sinal de marca
TwCont Assessoria Contabil,"Japeri, RJ",,,,,,False,twcont@twcont.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
VetClin - Clínica Veterinária e PetShop,"Japeri, RJ",,,,,,False,vetclin@veterinariavetclin.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
YES! Engenheiro Pedreira,"Japeri, RJ",,,,,,False,engenheiro.rj@cursoyes.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Óticas Carol,"Japeri, RJ",,,,,,False,falecomacarol@br.luxottica.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Barbearia Corte das Estrelas,"Japeri, RJ",barbearia,21) 97959-1640,"R. Santo Antônio, 340 - Vila São Luis, Duque de Caxias - RJ, 25065-051",4.9,,False,barbeariadasestrelas@mwdmarketing.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Odontocompany,"Japeri, RJ",dentista,21) 99923-9924,"R. Francisco Antônio Russo, 1 - Quadra A - Eng. Pedreira, Japeri - RJ, 26445-140",4.9,,False,japeri@odontocompany.com,comercial,negocio_direto,100,dominio proprio com sinal de marca
Maná self-service,"Japeri, RJ",lanchonete,21) 97256-8282,"Estr. Santo Antônio, 2 - Eng. Pedreira, Japeri - RJ, 26495-000",4.8,,False,manarest@oi.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Casa Aurora,"Japeri, RJ",loja de móveis,21) 99405-2574,"Eng. Pedreira, Japeri - RJ, 26445-060",3.0,,False,gestao@casaaurora.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Lojas Dujuca,"Japeri, RJ",loja de móveis,21) 2670-1242,"Av. Leni Ferreira, 217 - Centro de Japeri, Japeri - RJ, 26435-210",3.8,,False,recepcao@lojasdujuca.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
RAÇÕES THALEDI LTDA ME,"Japeri, RJ",pet shop,21) 2670-1429,"R. Cel. Emídio Lemos, 436 - Centro de Japeri, Japeri - RJ, 26435-250",4.5,,False,racoes@thaledi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ótica Visual,"Japeri, RJ",ótica,21) 3067-1223,"R. Delgado de Carvalho, 30 - Pantanal, Duque de Caxias - RJ, 25040-240",5.0,,False,oticascantareira@oticascantareira.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Assaí Atacadista,"Mesquita, RJ",,,,,,False,loja131.televendas@assai.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
CCAA Vila Emil,"Mesquita, RJ",,,,,,False,vilaemil@ccaa.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Casa Do Celular,"Mesquita, RJ",,,,,,False,casadocelular@casadocelular.net.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
Floricultura Carol Flores,"Mesquita, RJ",,,,,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Kumon Mesquita - Vila Emil,"Mesquita, RJ",,,,,,False,thayane.pellegrini@unidadekumon.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Lemos pinturas e reformas,"Mesquita, RJ",,,,,,False,lemoslaboratorios@lemoslab.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Lifefit Mesquita,"Mesquita, RJ",,,,,,False,cal@redelifefit.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca
New Clinic Clinica Médica - Mesquita - RJ,"Mesquita, RJ",,,,,,False,agendamento@newclinicrj.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Renato Paixão Advogado - Advocacia | Direito do Consumidor | Direito Civil e Penal,"Mesquita, RJ",,,,,,False,renato@agencia11k.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Wizard by Pearson RJ Mesquita,"Mesquita, RJ",,,,,,False,mesquita@wizard.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
conquista guadalupe,"Mesquita, RJ",,,,,,False,site@conquistamontanhismo.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ótica Solbert,"Mesquita, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Ótica da Família,"Mesquita, RJ",,,,,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Confeitaria Milla,"Mesquita, RJ",confeitaria,21) 99186-4222,"R. Eng. Henrique Lussack, 1073 - Santa Terezinha, Mesquita - RJ, 26553-500",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
Colégio Curso PEC - MESQUITA,"Mesquita, RJ",curso pré-vestibular,21) 3763-8556,"R. Raul, 41 - Centro, Mesquita - RJ, 26551-210",,,False,sec.mesquita@colegiocursopec.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
FLORICULTURA CAMÉLIA FLORES,"Mesquita, RJ",floricultura,21) 99747-2260,"Av. Benjamin Pinto Dias, 1779 - Centro, Belford Roxo - RJ, 26130-000",4.9,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca
