nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao,motivo_filtro_final
Maná self-service,"Japeri, RJ",lanchonete,21) 97256-8282,"Estr. Santo Antônio, 2 - Eng. Pedreira, Japeri - RJ, 26495-000",4.8,,False,manarest@oi.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Casa Aurora,"Japeri, RJ",loja de móveis,21) 99405-2574,"Eng. Pedreira, Japeri - RJ, 26445-060",3.0,,False,gestao@casaaurora.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Lojas Dujuca,"Japeri, RJ",loja de móveis,21) 2670-1242,"Av. Leni Ferreira, 217 - Centro de Japeri, Japeri - RJ, 26435-210",3.8,,False,recepcao@lojasdujuca.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
RAÇÕES THALEDI LTDA ME,"Japeri, RJ",pet shop,21) 2670-1429,"R. Cel. Emídio Lemos, 436 - Centro de Japeri, Japeri - RJ, 26435-250",4.5,,False,racoes@thaledi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Visual,"Japeri, RJ",ótica,21) 3067-1223,"R. Delgado de Carvalho, 30 - Pantanal, Duque de Caxias - RJ, 25040-240",5.0,,False,oticascantareira@oticascantareira.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Confeitaria Milla,"Mesquita, RJ",confeitaria,21) 99186-4222,"R. Eng. Henrique Lussack, 1073 - Santa Terezinha, Mesquita - RJ, 26553-500",5.0,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Colégio Curso PEC - MESQUITA,"Mesquita, RJ",curso pré-vestibular,21) 3763-8556,"R. Raul, 41 - Centro, Mesquita - RJ, 26551-210",,,False,sec.mesquita@colegiocursopec.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
FLORICULTURA CAMÉLIA FLORES,"Mesquita, RJ",floricultura,21) 99747-2260,"Av. Benjamin Pinto Dias, 1779 - Centro, Belford Roxo - RJ, 26130-000",4.9,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Floricultura Cantinho das Flores,"Mesquita, RJ",floricultura,21) 3748-2536,"Rua Paraíso, 117 Solidão - Bairro das Graças, Belford Roxo - RJ, 26113-560",4.7,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Gustavo Riva vendas,"Mesquita, RJ",imobiliária,21) 99659-7694,"R. Elpídio, 1180 - Vila Emil, Mesquita - RJ, 26580-121",,,False,rivastore@riva.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
ATACADAO DA CONSTRUÇÃO,"Mesquita, RJ",material de construção,21) 97281-7124,"Av. Coelho da Rocha, 2060 - Rocha Sobrinho, Mesquita - RJ, 26572-480",5.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Mecânico da serra,"Mesquita, RJ",oficina mecânica,,"R. Serra, 306 - Santa Terezinha, Mesquita - RJ, 26554-040",,,False,corporativo@lojadomecanico.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
"Revest Lares - Tintas, Texturas e Construção","Mesquita, RJ",pintor,21) 96406-4597,"26584-001, Av. Pres. Costa e Silva, 1557 - Centro, Mesquita - RJ, 26553-295",4.8,,False,televendas.ma@gruporevest.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Atacadão dos Vidros Posto 13 - Vidraçaria XBOX,"Mesquita, RJ",vidraçaria,21) 97293-2210,"Rod. Pres. Dutra, 12173 - Santa Clara, Nova Iguaçu - RJ, 26225-570",3.9,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Atacadão Dos Óculos,"Mesquita, RJ",ótica,,"Av. Gov. Celso Peçanha - Banco de Areia, Mesquita - RJ, 26551-200",5.0,,False,faleconosco@atacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Otica Princesa,"Mesquita, RJ",ótica,,"R. Ambrósio, 16 - Vila Emil, Mesquita - RJ, 26580-250",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Cardoso,"Mesquita, RJ",ótica,21) 3763-9207,"R. Ambrósio, 537 - Vila Emil, Mesquita - RJ, 26580-250",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Cosmorama,"Mesquita, RJ",ótica,21) 3245-6785,"R. Cosmorama, 736 - Loja 08 - Cosmorama, Mesquita - RJ, 26582-070",4.3,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Letícia,"Mesquita, RJ",ótica,21) 2796-5640,"Próximo ao Tênis Clube, Loja A - Rua Mister Watkins, 184 - Centro, Mesquita - RJ, 26553-090",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Montenegro,"Mesquita, RJ",ótica,21) 2696-2021,"Praça Elizabeth Paixão, 1994 - Centro, Mesquita - RJ, 26553-161",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica New Look,"Mesquita, RJ",ótica,21) 98517-7001,"Rua Barão de Salusse, 1426 - Centro, Mesquita - RJ, 26553-211",,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Raquel Prime,"Mesquita, RJ",ótica,21) 2696-0524,"R. Ambrósio, 254 - Vila Emil, Mesquita - RJ, 26580-250",4.6,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Rever,"Mesquita, RJ",ótica,21) 3019-0446,"R. Pref. José Montes Paixão, 449 - Loja 1 - Edson Passos, Mesquita - RJ, 26584-020",,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Sonho Da Visão,"Mesquita, RJ",ótica,21) 97589-5935,"Rua Sotero, 231 - Santo Elias, Mesquita - RJ, 26560-480",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica pega visão,"Mesquita, RJ",ótica,21) 98828-2158,"R. Pref. José Montes Paixão, 1984 - Centro, Mesquita - RJ, 26553-161",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Confeitaria Flor de Olinda,"Nilópolis, RJ",confeitaria,21) 2693-3037,"Av. Getúlio de Moura, 211 - Olinda, Nilópolis - RJ, 26510-000",4.3,,False,falecom@confeitariaacapulco.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Relojoaria Roma,"Nilópolis, RJ",joalheria,21) 2691-7978,"Travessa Municipal , loja 9 - Centro, Nilópolis - RJ, 26530-070",4.1,,False,jefferson@relojoariajj.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Marrafa's bike Sport,"Nilópolis, RJ",loja de bicicleta,21) 2691-3384,"Square Shopping Center - Rua Professor Alfredo Gonçalves Filgueiras, 100 Lj - 143 - Centro, Nilópolis - RJ, 26510-014",4.4,,False,marrafasbike22@gmail.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Jam Serviçes Manutenção e Reformas,"Nilópolis, RJ",pintor,21) 97905-3434,"Estr. Nilo Peçanha, 764 - Olinda, Nilópolis - RJ, 26545-202",,,False,rm.reformasemanutencao@rotmail.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Studio AG,"Nilópolis, RJ",salão de beleza,21) 2692-8802,"R. São Luís, 45 - Centro, Nilópolis - RJ, 26526-030",4.9,,False,giovana@studioag.arq.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Otica Eva,"Nilópolis, RJ",ótica,21) 3663-5853,"R. Nicolau Cobelas, 179 - Centro, Nilópolis - RJ, 26530-080",4.7,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Hospital dos óculos,"Nilópolis, RJ",ótica,21) 2791-8632,"Av. Carmela Dutra, 1952 - Centro, Nilópolis - RJ, 26530-020",4.4,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica Paulina,"Nilópolis, RJ",ótica,,"Estr. Mirandela, 221 - Centro, Nilópolis - RJ, 26520-331",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica da Fábrica,"Nilópolis, RJ",ótica,21) 2042-5706,"R. Mal. Castelo Branco, 297 - Centro, Nilópolis - RJ, 26525-122",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Ótica em Nilópolis Exclusiva,"Nilópolis, RJ",ótica,21) 97635-7193,"Rua: - Av. Getúlio Vargas, 1429 - loja 7 - Centro, Nilópolis - RJ, 26510-010",5.0,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Academia Maia,"Nova Iguaçu, RJ",academia,21) 2768-7625,"R. Cel. Francisco Soares, 90 - Centro, Nova Iguaçu - RJ, 26220-032",4.5,,False,direccion@academia-mai.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Red Fitness,"Nova Iguaçu, RJ",academia,21) 96467-6328,"Av. Henrique Duque Estrada Meyer, 2747 - Parque Flora, Nova Iguaçu - RJ, 26041-061",4.7,,False,centraldeatendimento@redfitness.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Fenix Hospital Veterinário,"Nova Iguaçu, RJ",clínica veterinária,21) 2667-6628,"R. Dr. Frutuoso Rangel, 25 - Centro, Nova Iguaçu - RJ, 26210-190",4.4,,False,fenixhospitalvet@gmail.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
M Lopes Contabilidade,"Nova Iguaçu, RJ",contador,21) 2669-0490,"Av. Mal. Floriano Peixoto, 1480 - Loja 202 - Centro, Nova Iguaçu - RJ, 26220-060",4.9,,False,mlopes@mlopes.cnt.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
FISK NOVA IGUAÇU CENTRO 1,"Nova Iguaçu, RJ",escola de idiomas,21) 99332-8318,"R. Margarida Alvarez, 175 - Luz, Nova Iguaçu - RJ, 26225-155",5.0,,False,niguacudaluz.rj@escolasfisk.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Lojas Novo Visual,"Nova Iguaçu, RJ",loja de roupas,21) 98992-4490,"R. Min. Edgar da Costa, 25 - Centro, Nova Iguaçu - RJ, 26220-070",4.6,,False,ailson@lojasnovovisual.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
MECÂNICA FERREIRA,"Nova Iguaçu, RJ",oficina mecânica,21) 96458-4112,"R. Glória, 31 - Vila Santo Antonio, Nova Iguaçu - RJ, 26010-070",4.9,,False,guinchoexclusivo@ferreiraempresas.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Padaria Santa Marta - Nova Iguaçu,"Nova Iguaçu, RJ",padaria,21) 97722-9900,"POSTO 13 - Rod. Pres. Dutra, KM 13006 - Prata, Nova Iguaçu - RJ, 26130-250",4.4,,False,sm@santamartapaes.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Mercado Bella,"Nova Iguaçu, RJ",supermercado,21) 2658-3823,"Estr. Velha de Iguacu, 316 - Miguel Couto, Nova Iguaçu - RJ, 26070-269",4.0,,False,jose@mercadobellavilla.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Rede Q-Preço Parque Flora,"Nova Iguaçu, RJ",supermercado,21) 2657-1559,"Av. Henrique Duque Estrada Meyer, 2891 - Parque Flora, Nova Iguaçu - RJ, 26041-051",4.0,,False,rqpflora@hotmail.commais,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Casa de Ótica - Shopping Nova Iguaçu,"Nova Iguaçu, RJ",ótica,21) 97601-7684,"Av. Abílio Augusto Távora, 1111 - Loja 3014 - Luz, Nova Iguaçu - RJ, 26260-045",5.0,,False,atendimentocliente@shoppingnovaiguacu.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Óticas Gassi - Nova Iguaçu,"Nova Iguaçu, RJ",ótica,21) 2667-1554,"Av. Nilo Peçanha, 670 - Centro, Nova Iguaçu - RJ, 26064-530",5.0,,False,novaiguacurj@oticasgassi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Veterinária Motta Queimados,"Queimados, RJ",clínica veterinária,21) 2665-4535,"R. Alcindo Bulhões Paes, 777 - Queimados, RJ, 26325-230",4.5,,False,srmotta@oi.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Achieve,"Queimados, RJ",escola de idiomas,21) 2665-6404,"R. Olímpia Silva, 813 - Pacaembu, Queimados - RJ, 26330-260",3.7,,False,queimados@achievelanguages.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
CCAA - Queimados,"Queimados, RJ",escola de idiomas,21) 2665-3803,"R. Tinguá, 75 - Sl 101 - Marapicu, Nova Iguaçu - RJ, 26385-070",5.0,,False,queimados@ccaa.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
DuoPilates,"Queimados, RJ",estúdio de pilates,21) 99393-7108,"R. Santa Rita, 53 - Centro, Queimados - RJ, 26310-070",5.0,,False,studio@duopilates.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Floricultura Fest Flores,"Queimados, RJ",floricultura,21) 99916-3710,"Av. Blvd. São Vicente, 285 - Parque Sao Vicente, Belford Roxo - RJ, 26172-310",4.5,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Floricultura Nathalia Flores,"Queimados, RJ",floricultura,21) 98823-6393,"R. Ver. Marinho Hemeterio Oliveira - de oliveira, Queimados - RJ, 26323-292",4.6,,False,televendas8@giulianaflores.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Nick Cell - Assistência Técnica,"Queimados, RJ",loja de celulares,21) 99017-0874,"R. Prof. Marcelo Alves Rosa, 99 - Flesmam, Queimados - RJ, 26321-470",5.0,,False,nickcell@nickcell.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Citycol Queimados,"Queimados, RJ",loja de roupas,21) 2665-3796,"Av. Irmãos Guinle, 1027 - Centro, Queimados - RJ, 26323-130",4.1,,False,admproc@citycol.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Óticas Muniz,"Queimados, RJ",ótica,21) 99142-7401,"Av. Tinguá, n° 164 - Centro, Queimados - RJ, 26383-070",4.9,,False,sacdiniz@oticasdiniz.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Barbearia Fábio Zohan,"São João de Meriti, RJ",barbearia,21) 96888-4204,"R. Joana Kalil, 1457 - Jardim Meriti, São João de Meriti - RJ, 25555-100",4.9,,False,grateful@fabio,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
FAG Escola Técnica de Enfermagem,"São João de Meriti, RJ",escola de idiomas,21) 2751-4089,"R. Claudionor Peri, Lt 10 - Qd 7 - Vilar dos Teles, São João de Meriti - RJ, 25555-831",4.0,,False,fagescolatecnica@zipmail.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Bronze Meriti,"São João de Meriti, RJ",estética,21) 96769-2200,"R. São Pedro, 117 - Centro, São João de Meriti - RJ, 25515-270",5.0,,False,andressabronze@andressabronze.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
J. Teixeira Imóveis,"São João de Meriti, RJ",imobiliária,21) 2656-0783,"Av. Nossa Sra. das Graças, 1104 - Centro, São João de Meriti - RJ, 25510-240",4.0,,False,jteixeiraimoveis@oi.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Messias Sport Cicle,"São João de Meriti, RJ",loja de bicicleta,21) 3752-2915,"Av. Comendador Teles, 2957 - A - Vilar dos Teles, São João de Meriti - RJ, 25561-160",4.5,,False,messias@exlege.adv.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Tubarão atacadão,"São João de Meriti, RJ",loja de móveis,21) 98033-0072,"R. Maria Soares Sendas, 205 - Parque Barreto, São João de Meriti - RJ, 25575-825",4.2,,False,faleconosco@tubaraoatacadao.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Lojas 3B,"São João de Meriti, RJ",loja de roupas,,"R. da Matriz, 259 - Centro, São João de Meriti - RJ, 25520-640",4.2,,False,flaviaortiz@lojas3b.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Nalin,"São João de Meriti, RJ",loja de roupas,,"Av. Comendador Teles, 2401 - Vilar dos Teles, São João de Meriti - RJ, 25561-161",4.3,,False,marineanascimento@lojasnalin.com.br,cnpj,negocio_direto,100,dominio proprio com sinal de marca,ok
Loja de material de construção,"São João de Meriti, RJ",material de construção,21) 99874-3034,"Av. Ana Brito da Silva - São Mateus, São João de Meriti - RJ, 25525-510",4.3,,False,loja@patinha.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Clinicar Roosevelt Oficina Mecânica,"São João de Meriti, RJ",oficina mecânica,21) 97009-7462,"R. Geni Ferreira de Matos, 108 - Coelho da Rocha, São João de Meriti - RJ, 25550-720",5.0,,False,rooseveltmecatronica@oi.com.br,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Star Vidros,"São João de Meriti, RJ",vidraçaria,21) 99539-7787,"R. Cravos, 92 - loja - Parque Araruama, São João de Meriti - RJ, 25585-480",5.0,,False,maicon.comercial@starvidros.com,comercial,negocio_direto,100,dominio proprio com sinal de marca,ok
Academia 15,"Belford Roxo, RJ",academia,21) 3134-3744,"Av. Governador Leonel de Moura Brizola, 319 - Lote XV, Belford Roxo - RJ, 26183-250",4.5,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
Academia Athletic Gym,"Belford Roxo, RJ",academia,3564-9440,"R. Dona Dagmar, 259 - Vila Dagmar, Belford Roxo - RJ, 26130-220",4.7,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
Academia Corpus Fitness,"Belford Roxo, RJ",academia,3771-8856,"Estr. Aníbal da Mota, 1528-1622 - Santa Teresa, Belford Roxo - RJ, 26193-340",4.5,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
Academia Plena Forma,"Belford Roxo, RJ",academia,21) 2661-4232,"R. Anhanguera, 25 - Parque Sao Bernardo, Belford Roxo - RJ, 26160-660",4.5,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
Academia Saene Fitness,"Belford Roxo, RJ",academia,21) 3772-3711,"R. Ana Maria, 167 - Jardim Almo, Belford Roxo - RJ, 26115-010",4.7,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
Academia Saúde Fit,"Belford Roxo, RJ",academia,21) 96438-8708,"R. Itatiba, 22 - Parque Veneza, Belford Roxo - RJ, 26183-185",4.5,,False,jubao@zhihu.com,comercial,negocio_direto,90,dominio proprio,ok
