nome,cidade,categoria,telefone,endereco,avaliacao,num_avaliacoes,tem_site,email,fonte_email,classificacao_email,prioridade,motivo_classificacao,motivo_filtro_final
Paraiso dos Bichos,"Belford Roxo, RJ",pet shop,21) 3939-6415,"Av. Ver. Albertino Guedes, 206 - Bairro das Graças, Belford Roxo - RJ, 26113-360",4.4,,False,atendimento@colegioparaisobauru.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Capiche,"Belford Roxo, RJ",pizzaria,21) 99462-5844,"Av. Blvd. São Vicente, 94 - lj 3/4 - Parque Sao Vicente, Belford Roxo - RJ, 26170-480",4.5,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Dois Amigos,"Belford Roxo, RJ",pizzaria,21) 2759-5848,"Estr. do Calundu - São José, Belford Roxo - RJ, 26190-060",4.4,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Recanto Nobre,"Belford Roxo, RJ",pizzaria,21) 98737-1981,"R. José Ferreira, 5 - Parque dos Ferreiras, Belford Roxo - RJ, 26183-495",4.4,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Senhor Da Pizza,"Belford Roxo, RJ",pizzaria,21) 97588-4173,"R. Costa Lima, 11 - Centro, Belford Roxo - RJ, 26130-550",3.9,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria do Anderson,"Belford Roxo, RJ",pizzaria,21) 97382-5120,"R. Enrico Ferri, 972 - Pantanal, Duque de Caxias - RJ, 25042-550",5.0,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Drogabel Duque de Caxias,"Duque de Caxias, RJ",farmácia,21) 99235-8353,"Av. Brg. Lima e Silva, n 1727 - Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ, 25071-181",4.5,,False,sac@drogabel.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Drogarias Legítima - Pantanal,"Duque de Caxias, RJ",farmácia,21) 2759-2000,"Av. Gomes Freire, s/n lt 05 - qd 12 lj A - Pantanal, Duque de Caxias - RJ, 25040-160",,,False,marketing@santoseabreu.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
"Lua Jóias, Artefatos e Joalheria","Duque de Caxias, RJ",joalheria,21) 98109-8260,"Av. Governador Leonel de Moura Brizola, 5841 - sala 201 - Vila Leopoldina, Duque de Caxias - RJ, 25035-007",5.0,,False,atendimento@luajoias.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Sport BIKE,"Duque de Caxias, RJ",loja de bicicleta,,"Av. República do Paraguai, 11 - Vila Sarapui, Duque de Caxias - RJ, 25050-100",4.3,,False,sac@sportbike.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
GAZETA ART MARCENARIA,"Duque de Caxias, RJ",marcenaria,21) 97058-6072,"R. Inglês de Souza - Vila Leopoldina, Duque de Caxias - RJ, 25051-010",5.0,,False,atendimento@cfmage.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Serralheria Forte Da Kennedy,"Duque de Caxias, RJ",serralheria,,"Vila Rosário, Duque de Caxias - RJ, 25030-001",,,False,atendimento@workcell.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Serralheria metalurgica ADM,"Duque de Caxias, RJ",serralheria,,"R. Três Américas, 5416 - São Bento, Duque de Caxias - RJ, 25041-205",,,False,atendimento@serralheriabr.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Centro Médico Costa Verde,"Itaguaí, RJ",clínica médica,21) 2688-2378,"R. Cantídio Costa, 111 - Centro, Itaguaí - RJ, 23815-210",4.1,,False,atendimento.pa@costaverde.unimed.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Carvalho materiais de construção,"Itaguaí, RJ",material de construção,21) 97015-1016,"Av. Bahia, 3 - lote2 quadra30 - Vila Ibirapitanga, Itaguaí - RJ, 23811-140",4.8,,False,info@hersana.org,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
ConstruLopes Materiais de Construção,"Itaguaí, RJ",material de construção,21) 97020-1711,"Estr. do Teixeira, Lote 09 - Qd 6 - Vista Alegre, Itaguaí - RJ, 23820-275",4.4,,False,info@urbanjuncture.com,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Nova Bréscia Grill,"Itaguaí, RJ",restaurante,21) 2687-9650,"Av. Dep. Octávio Cabral, 284 - Jardim America, Itaguaí - RJ, 23810-302",4.4,,False,contato.tte@novabrescia.com,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,caixa_generica_risco
Serralheria e Portas Corta Fogo,"Itaguaí, RJ",serralheria,21) 96625-8833,"R. México, 48 - Qd 11 - Jardim America, Itaguaí - RJ, 23810-630",,,False,sac@serralheria.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Auto escola Mais que Vencedores,"Japeri, RJ",auto escola,21) 4149-1025,"R. Vera Helena - Nossa Sra. de Fátima, Japeri - RJ, 26443-060",4.5,,False,adm@asecon.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
CFC FATON,"Japeri, RJ",auto escola,21) 96957-0574,"R. Vera Helena, L6 - Nossa Sra. de Fátima, Japeri - RJ, 26443-060",,,False,adm@asecon.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
JN cortes,"Japeri, RJ",barbearia,21) 97319-6795,"Rua Cheyk Rejame, 15 - Nova Belém, Japeri - RJ, 26433-210",5.0,,False,financeiro@ctr.ind.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
FÁBRICA DOS SABORES,"Japeri, RJ",confeitaria,21) 99979-3035,"R. Josué, 81 - Nova Belém, Japeri - RJ, 26435-110",4.9,,False,financeiro@fabricadossabores.com,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Cristal bijuterias artigos em geral,"Japeri, RJ",joalheria,,"Av. Automóvel Clube, 1011 - Jardim Gláucia, Belford Roxo - RJ, 26195-010",,,False,adm@fashionbiju.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
"Lua Jóias, Artefatos e Joalheria","Japeri, RJ",joalheria,21) 98109-8260,"Av. Governador Leonel de Moura Brizola, 5841 - sala 201 - Vila Leopoldina, Duque de Caxias - RJ, 25035-007",5.0,,False,atendimento@luajoias.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
ZAPTEC TECNOLOGIA,"Japeri, RJ",loja de celulares,21) 98263-9813,"Estrada Miguel Pereira - Nova Belém, Japeri - RJ, 26440-050",4.9,,False,atendimento@zaptec.net.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Domínio Modas,"Japeri, RJ",loja de roupas,,"Praça Olávo Bilac - Eng. Pedreira, Japeri - RJ, 26445-010",5.0,,False,atendimento@dominiodamoda.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Panificadora Sabor e Saúde,"Japeri, RJ",padaria,,"R. Andirá, 2 - Jardim Delamare, Japeri - RJ, 26470-180",4.2,,False,adm@asecon.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Bazar e Papelaria Irmaos Marini,"Japeri, RJ",papelaria,21) 98571-2895,"R. Cirene Moraes Costa, 431 - Nova Belém, Japeri - RJ, 26433-205",5.0,,False,adm@asecon.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Marquesa city,"Japeri, RJ",ótica,,"Av. Maquinista José Santana - Mal. Hermes, Rio de Janeiro - RJ, 21670-130",,,False,adm@asecon.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
64ª Subseção da OAB/RJ - Mesquita,"Mesquita, RJ",advogado,21) 2696-8976,"R. Mr. Watkins, 319 - Centro, Mesquita - RJ, 26553-090",4.5,,False,info@companyname.com,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Panificação Central De Mesquita Ltda,"Mesquita, RJ",confeitaria,,"R. Pref. José Montes Paixão, 1289 - Edson Passos, Mesquita - RJ, 26240-160",4.5,,False,sac@embrapa.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
E² Artísticos,"Mesquita, RJ",marcenaria,21) 98361-0087,"Av. Dr. Manuel Duarte, 525 - Centro, Mesquita - RJ, 26553-281",,,False,financeiro@graficamesquita.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Panificação e Confeitaria Grande Rio,"Mesquita, RJ",padaria,21) 2796-5166,"Av. Oliveiras, 422 - BNH, Mesquita - RJ, 26574-690",4.3,,False,sac@embrapa.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Boutique Dos Pets Mesquita,"Mesquita, RJ",pet shop,21) 2797-5586,"R. Pref. José Montes Paixão, 1708 - Loja B - Centro, Mesquita - RJ, 26553-161",5.0,,False,info@jamalawildlifelodge.com.au,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Shadzzar,"Mesquita, RJ",pizzaria,21) 98710-5932,"R. Antônio Borges, 241 - Santo Elias, Mesquita - RJ, 26562-050",4.9,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Nilootica,"Mesquita, RJ",ótica,21) 96545-9945,"Av. União, 422 - Santa Terezinha, Mesquita - RJ, 26554-000",5.0,,False,info@pioneerhomes.net,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Estética Regilane Silva,"Nilópolis, RJ",estética,21) 98985-2982,"R. Prof. Alfredo Gonçalves Figueira, 18 - Sala 407 - Centro, Nilópolis - RJ, 26525-060",5.0,,False,atendimento@listamais.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Grazielly Martins - Clínica de Estética,"Nilópolis, RJ",estética,21) 97643-2612,"R. Alberto Teixeira da Cunha, 38 - sala 507 - Centro, Nilópolis - RJ, 26510-613",5.0,,False,sac@essenciasdaterra.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Florenza Presentes,"Nilópolis, RJ",joalheria,21) 2691-7140,"R. Prof. Alfredo Gonçalves Figueira, 100 - Lj 231 - Centro, Nilópolis - RJ, 26525-060",4.8,,False,atendimento@florenza.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
SanFlaus Móveis - Nilópolis,"Nilópolis, RJ",loja de móveis,21) 2796-3968,"Av. Getúlio Vargas, 1856 - Centro, Nilópolis - RJ, 26510-016",5.0,,False,info@friendsofislandbeach.org,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
ANGELINA DE NILÓPOLIS,"Nilópolis, RJ",material de construção,21) 2693-0219,"Av. Getúlio de Moura, 2277 - Centro, Nilópolis - RJ, 26525-002",4.2,,False,admin@kino-teatr.ru,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Bradock Da Cidade Bazar Materiais De Construcao Ltda - ME,"Nilópolis, RJ",material de construção,21) 2693-1417,"Praça Alberto Santos Dumont 21 Lj próximo a garagem do ônibus São Francisco Estrada marechal Castelo Branco 1130 N S - Fátima, Nilópolis - RJ, 26525-122",4.6,,False,atendimento@bradokshoes.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Durval - Coneplast Materiais De Construção,"Nilópolis, RJ",material de construção,,"R. Antônio Félix, 969 - Centro, Nilópolis - RJ, 26520-631",4.7,,False,atendimento@durvalcalcados.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Panificação A Grande Família,"Nilópolis, RJ",padaria,,"R. Ver. Francisco Nunes, 1264 - Olinda, Nilópolis - RJ, 26540-020",4.7,,False,sac@embrapa.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Cantinho dos Bichos Pet Shop,"Nilópolis, RJ",pet shop,21) 2693-5678,"R. João Pessoa, 2009 - Centro, Nilópolis - RJ, 26525-020",4.7,,False,atendimento@lojascantinhodoce.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pedreiro reforma e construções,"Nilópolis, RJ",pintor,21) 98328-6948,"R. Profa. Laíde de Souza Belém, 171 - Centro, Nilópolis - RJ, 26540-110",5.0,,False,atendimento@listamais.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Kidelicia,"Nilópolis, RJ",pizzaria,21) 3760-0707,"Estr. Nilo Peçanha, 644 - Olinda, Nilópolis - RJ, 26540-232",4.6,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria Vidiello ltda,"Nilópolis, RJ",pizzaria,21) 2691-2095,"Estr. Sen. Salgado Filho, 996 - Cabral, Nilópolis - RJ, 26510-111",4.5,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Pizzaria do João,"Nilópolis, RJ",pizzaria,21) 99988-7821,"R. Dr. Mario Valadares, 145 - Novo Horizonte, Nilópolis - RJ, 26535-338",4.3,,False,atendimento@pizzaria.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Supermercados Rede com Você,"Nilópolis, RJ",supermercado,21) 2791-5983,"Estr. Mirandela, 805 - Centro, Nilópolis - RJ, 26520-355",4.0,,False,financeiro@supermercadondp.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
CMNI - Centro Médico Nova Iguaçu,"Nova Iguaçu, RJ",clínica médica,21) 2667-5858,"R. Profa. Augusto Rodrigues, 115 - Centro, Nova Iguaçu - RJ, 26210-290",2.9,,False,adm@cmni.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Melo's Cicle,"Nova Iguaçu, RJ",loja de bicicleta,21) 2668-8296,"Av. Gov. Roberto Silveira, 411 - Centro, Nova Iguaçu - RJ, 26210-210",4.4,,False,atendimento@meloscicles.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Loja de Móveis - CasaChick Móveis e decorações,"Nova Iguaçu, RJ",loja de móveis,21) 96437-9088,"R. Oscar Soares, 1141 - Califórnia, Nova Iguaçu - RJ, 26550-160",5.0,,False,atendimento@casachick.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Calábria Pizza e Petiscos,"Nova Iguaçu, RJ",pizzaria,21) 3102-0290,"Tv. João Ferreira Pinto, 373 - Floresta, Nova Iguaçu - RJ, 26030-520",4.4,,False,info@calabria-manching.de,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Serralheria Expert,"Nova Iguaçu, RJ",serralheria,21) 96426-4847,"R. Maria da Glória, 515 - Engenho Pequeno, Nova Iguaçu - RJ, 26011-400",1.0,,False,atendimento@listamais.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Primor odontologia e medicina,"Queimados, RJ",dentista,21) 97270-7766,"Av. Dr. Pedro Jorge, 68 - Queimados, RJ, 26383-060",5.0,3,False,sac@seara.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
encanador etc.,"Queimados, RJ",encanador,21) 97902-5845,"R. Leopoldina Tomé, 142 - Vila Centenario, Duque de Caxias - RJ, 25030-050",4.5,,False,financeiro@casadoencanador.net,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Empório Bijuterias,"Queimados, RJ",joalheria,21) 99732-7628,"Av. Irmãos Guinle, 1043 - Centro, Queimados - RJ, 26310-200",5.0,,False,atendimento@lojasemporio.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Serralheria Top ferro,"Queimados, RJ",serralheria,21) 99298-1279,"R. Amaro Cavalcante, 74 - Paraíso, Queimados - RJ, 26381-624",,,False,atendimento@serralheriabr.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Serralheria e Vidraçaria Rocha,"Queimados, RJ",vidraçaria,21) 2665-8116,"R. Camarim, 55 - Parque São Carlos, Queimados - RJ, 26317-210",5.0,,False,atendimento@serralheriabr.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Bar Kings Bar,"São João de Meriti, RJ",bar,21) 96942-0755,"1,2 km, R. Est. Eliane Castanheira, 808 - Vila Rosali, São João de Meriti - RJ, 25510-242",4.5,,False,adm@thekingsoriginal.com.br,cnpj,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Clínica LL Odontologia Avançada,"São João de Meriti, RJ",dentista,21) 96546-4689,"R. Egas Muniz, 22 - sala 107 e 108 - Vilar dos Teles, São João de Meriti - RJ, 25576-281",5.0,,False,atendimento@riolabor.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Caçulinha Jóias e Relógios,"São João de Meriti, RJ",joalheria,21) 97008-3368,"R. Assia Tanus Bedran - São João de Meriti, RJ, 25520-560",5.0,,False,sac@cacula.com,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
Rio Black Fort Serralheria,"São João de Meriti, RJ",serralheria,21) 3047-0037,"R. Salgado Filho, 56 - Lote 13, Quadra - Jardim Meriti, São João de Meriti - RJ, 25555-190",,,False,sac@forteferroeaco.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
ÓTICA RENASCER,"São João de Meriti, RJ",ótica,21) 97981-7674,"R. Gessyr Gonçalves Fontes, 139 - Loja 5 - Centro, São João de Meriti - RJ, 25520-570",5.0,,False,atendimento@listamais.com.br,comercial,caixa_generica_negocio,85,caixa generica em dominio proprio,local_bloqueado
