nome,telefone,whatsapp,instagram,email,categoria,cidade,bairro,endereco,tem_site,url_site,avaliacao,num_avaliacoes
Prime Barber e Beer,21) 3577-3602,,,,barbearia premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Shopping Novo Leblon - Av. das Américas, 7607 - Loja 134 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,4.6,
Barbearia Premium,,,https://www.instagram.com/jldocorte,,barbearia premium,"Barra da Tijuca - Rio de Janeiro, RJ",Taquara,"R. do Caule, 12 - Taquara, Rio de Janeiro - RJ, 22713-582",False,https://www.instagram.com/jldocorte/,4.9,
Península Barber Club,21) 3640-0653,,,,barbearia premium,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. João Cabral de Mello Neto, 610 - SALA 1103 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-057",False,,5.0,
Barra Clínica Odontológica Urgência,21) 99122-9709,"https://api.whatsapp.com/send?phone=5521996101488&text=Ol%C3%A1%20LAP%20Odontologia,%20acabei%20de%20ver%20seu%20perfil%20no%20Google!",https://instagram.com/dra.thayssasouza,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Avenida Embaixador Abelardo Bueno,"Próximo a Perinatal, no Dimension Office Park, bloco Lagoa 1 - Avenida Embaixador Abelardo Bueno, numero 1, sala 211, Rio de Janeiro - RJ, 22775-040",False,,4.9,
Dra. Renata Pinho - Lagoa Rio Odontologia,21) 98419-0453,21) 98419-0453,https://www.instagram.com/lagoario_odonto,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Jardim Botânico,"Edifício Touch - R. Jardim Botânico, 568 - 202 - Jardim Botânico, Rio de Janeiro - RJ, 22461-000",False,https://www.instagram.com/lagoario_odonto/,5.0,
EM Odontologia | Dentista 24h Barra da Tijuca,21) 98251-6118,21) 98251-6118,https://www.instagram.com/dra.anabeafranco,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"One World Offices, Bloco A, Europa Tower, R. Sérgio Buarque de Holanda, 605 - Sala 703 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-004",False,,5.0,
Dental Service - Dr.ª Luciane Mallet,21) 96978-0005,21) 96978-0005,https://www.instagram.com/dra.anabeafranco,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Avenida Ayrton Senna 2600 Bl 5 Entrada II Sala 454 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-003",False,,3.3,
Dra. Luciana Giesta - Endodontia - Microscopia - Barra da Tijuca,21) 99380-6070,21) 99380-6070,https://www.instagram.com/dra.anabeafranco,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Shopping Millenium - Av. das Américas, 7707 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,5.0,
Dra Ohana Cardoso,21) 98581-2567,21) 98581-2567,https://www.instagram.com/dra.barbarastrauss?igsh=cmJyMWZ6czFjampx,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 1 - Sala 424 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,,5.0,
Consultório odontológico Dra. Maiza Toledo,21) 99701-3849,21) 99701-3849,https://www.instagram.com/dra.anabeafranco,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"PRIME DESIGN OFFICES Jacarepaguá - Estr. Cel. Pedro Corrêa, 740 - Sala 422 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-090",False,,5.0,
Aurê Clinic odontologia | Dentista Barra da tijuca,21) 99015-9683,"https://api.whatsapp.com/send?phone=5521996101488&text=Ol%C3%A1%20LAP%20Odontologia,%20acabei%20de%20ver%20seu%20perfil%20no%20Google!",https://www.instagram.com/aureclinic.barra?igsh=cTVyOGxrMDA3cnQ3,,dentista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av evandro lins e silva, |, 840 - Sala 1309 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-470",False,https://www.instagram.com/aureclinic.barra?igsh=cTVyOGxrMDA3cnQ3,5.0,
Jéssica Camelo | Psicóloga Barra da Tijuca,21) 98001-6734,https://api.whatsapp.com/send/?phone=5521983052782&text&type=phone_number&app_absent=0,https://www.instagram.com/psicologaadrianaandrade?igsh=cmIzcWhvcmhpM2V2&utm_source=qr,,psicólogo,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. João Cabral de Mello Neto, 850 - 10 andar - Barra da Tijuca, Rio de Janeiro - RJ, 22775-057",False,https://www.instagram.com/jcamelopsi/,5.0,
Nutricionista Julia Moreira,21) 99253-4426,21) 99253-4426,https://www.instagram.com/nutrijuliamoreira,,nutricionista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Estr. Cel. Pedro Corrêa, 740 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-090",False,https://www.instagram.com/nutrijuliamoreira/,5.0,
Nutricionista Edilthon (Ednutri),21) 98386-3840,21) 98386-3840,https://www.instagram.com/nutrijuliamoreira,,nutricionista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 4666 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102",False,https://www.instagram.com/ednutri_?igsh=c2hhMDJybjJjcnQ=,5.0,
Nutricionista Larissa Meira - Barra da Tijuca,,5521981450993,https://www.instagram.com/nutrijuliamoreira,,nutricionista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Centro Profissional Barra Shopping - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102",False,https://instagram.com/nutrilarissameira?igshid=YmMyMTA2M2Y=,5.0,
Nutricionista Roberta Kelly,21) 99579-0942,21) 99579-0942,https://www.instagram.com/nutrijuliamoreira,,nutricionista,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Edifício lagoa 1, Av. Embaixador Abelardo Bueno, sala 617 - Barra da Tijuca, Rio de Janeiro - RJ",False,https://www.instagram.com/robertakelly.nutri?igsh=MXI0ZGxyOTY1a2tocQ==,5.0,
Centro Clinico Barra da Tijuca - FISIOMONDE CLINICA,21) 99889-3218,21) 99889-3218,https://www.instagram.com/pam_martins,,fisioterapeuta,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Le Monde Offices - Av. das Américas, 3500 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102",False,,5.0,
Pleno Corpo Fisioterapia Pilates e Estética - Barra da Tijuca,21) 99932-4600,21) 99932-4600,https://www.instagram.com/pam_martins,,fisioterapeuta,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 8585 - SL 204 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,5.0,
Dr. Felipe Feitosa - Fisioterapia,21) 98134-3430,21) 98134-3430,https://www.instagram.com/fisiorosewanderley,,fisioterapeuta,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. João Cabral de Mello Neto, 850 - Bloco 3, Sala 521 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-904",False,,5.0,
Osteopatia & Fisioterapia - Alexandre Galvão,21) 99481-1268,5521996173172,https://www.instagram.com/fisiorosewanderley,,fisioterapeuta,"Barra da Tijuca - Rio de Janeiro, RJ",Jardim Botânico,"R. Jardim Botânico, 656 - Sala 501 - Jardim Botânico, Rio de Janeiro - RJ, 22461-000",False,https://www.instagram.com/osteopatiagalvao/,5.0,
Autence Pilates,21) 98883-7492,21) 98883-7492,https://www.instagram.com/estudioautence,,pilates,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 3693 - Bloco 1, sala 306 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-003",False,https://www.instagram.com/estudioautence/,5.0,
Pure Pilates - Rio de Janeiro - Barra - Itaúna Shopping,21) 99092-4041,21) 99092-4041,,,pilates,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 11391 - sala 213 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-082",False,,5.0,
Pleno Corpo Fisioterapia Pilates e Estética - Barra da Tijuca,21) 99932-4600,21) 99932-4600,,,pilates,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 8585 - SL 204 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,5.0,
Pilates Tatiana Nobre - Barra da Tijuca,21) 99391-1879,21) 99391-1879,,,pilates,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"R. Gildásio Amado, 55 - sala 1113 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-020",False,,5.0,
Espaço Vida Praia,21) 99234-9632,21) 99234-9632,,,pilates,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Lúcio Costa, 3460 - 207 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-010",False,,4.5,
TOTAL FITT ACADEMIA - BARRA DA TIJUCA,21) 98547-0844,21) 98547-0844,,,academia boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 12700 - Barra da Tijuca, Rio de Janeiro - RJ, 22790-702",False,,4.9,
Vitalis Gym,21) 99545-7197,21) 99545-7197,,,academia boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Gen. Guedes da Fontoura, 800 - Loja G - Barra da Tijuca, Rio de Janeiro - RJ, 22621-243",False,,5.0,
Rio Fitness Body Wear,21) 3518-8659,,,,academia boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Barra Garden, Loja 224, Av. das Américas, 3255 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-002",False,,5.0,
Kikos Fitness Barra da Tijuca - Equipamentos para Academia em Rio de Janeiro RJ,21) 3154-2488,,https://www.instagram.com/kikosfitnessrj,,academia boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 1699 - Loja D - Barra da Tijuca, Rio de Janeiro - RJ, 22631-000",False,https://www.instagram.com/kikosfitnessrj/,3.0,
Companhia Atlética - Cond. Mundo Novo,21) 3325-6644,,,,academia boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 7899 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081",False,,4.3,
Studio Bispo micropigmentação e estética (barra da Tijuca),21) 96947-1281,21) 96947-1281,,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 4666 - Barra da Tijuca, Rio de Janeiro - RJ, 22621-200",False,,5.0,
STUDIO SORELLA,21) 97192-3883,21) 97192-3883,https://www.instagram.com/sstudiosorella?igsh=aHF6ZHVtdjhnaGZn,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Ayrton Senna, 5500 - Bloco 2 Loja 134 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-005",False,https://www.instagram.com/sstudiosorella?igsh=aHF6ZHVtdjhnaGZn,4.7,
LH Excelence Beauty - Design de Sobrancelhas e Cursos,21) 96416-1712,21) 96416-1712,https://www.instagram.com/lucianahenrique_oficial,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Alm. Júlio de Sá Bierrenbach, 65 - Bloco 4, sala 416 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-028",False,https://www.instagram.com/lucianahenrique_oficial/,5.0,
Studio Marcela Orrana,21) 98772-0004,21) 98772-0004,https://instagram.com/studiomarcelaorrana?igshid=NDk5N2NlZjQ=,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Ayrton Senna, 2600 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-036",False,https://instagram.com/studiomarcelaorrana?igshid=NDk5N2NlZjQ=,4.9,
UNIQUE BEAUTY - Barra Olímpica,21) 96495-6842,21) 96495-6842,https://www.instagram.com/uniquebeautyrj/#,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Estr. Cel. Pedro Corrêa, 740 - loja 107 - Barra Olímpica, Rio de Janeiro - RJ, 22775-090",False,https://www.instagram.com/uniquebeautyrj/#,5.0,
Cílios e sobrancelhas Aline Motta,21) 99814-2861,5521998142861,https://www.instagram.com/alinemotta.cilios?igsh=YXBlNHE4a3dzcTM0,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Av. Olof Palme, 765 - sala 404 - Barra Olímpica, Rio de Janeiro - RJ, 22783-119",False,https://www.instagram.com/alinemotta.cilios?igsh=YXBlNHE4a3dzcTM0,5.0,
Studio Biel Portella - Sobrancelhas,21) 99534-5246,21) 99534-5246,https://www.instagram.com/bielportellastudio,,studio de sobrancelha,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Av. Embaixador Abelardo Bueno, 3300 - Barra Olímpica, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/bielportellastudio/,4.9,
Studio Nara Leão Extensão de Cílios Barra da Tijuca,21) 96513-3881,21) 96513-3881,,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 297 - SALA 203 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-000",False,,5.0,
Gabriela Fonseca / extensão de cílios barra da tijuca,21) 99599-1012,21) 99599-1012,,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 4200 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-250",False,,5.0,
Cílios Gabi Von Barra da Tijuca,21) 98175-1808,21) 98175-1808,https://www.instagram.com/gabivonstudio/?igshid=YTY2NzY3YTc=,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Ásia Tower - Av. Ator José Wilker, 605 - bloco B - Barra Olímpica, Rio de Janeiro - RJ, 22775-024",False,https://www.instagram.com/gabivonstudio/?igshid=YTY2NzY3YTc=,5.0,
"Juliana Rivas | Lash Lifting, Cílios Fio a Fio e Sobrancelhas",21) 99744-9703,21) 99744-9703,https://instagram.com/_julianarivas_,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Ilha da Gigoia - Alameda Dalton Barreto, 1 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-334",False,https://instagram.com/_julianarivas_,5.0,
Big Lash Studio - CURSO DE CÍLIOS,21) 98257-6278,21) 98257-6278,https://instagram.com/biglashdesign?igshid=YmMyMTA2M2Y=,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Uptown Barra - Av. Ayrton Senna, 5500 - Bloco 3- sala 304 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-005",False,https://instagram.com/biglashdesign?igshid=YmMyMTA2M2Y=,5.0,
Sobrancelha e Cílios - Taymiris Barros,21) 98026-6500,21) 98026-6500,https://instagram.com/designertaymirisbarros?igshid=OTk0YzhjMDVlZA==,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Salão Citrino - Av. das Américas, 500 - loja 150 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100",False,https://instagram.com/designertaymirisbarros?igshid=OTk0YzhjMDVlZA==,5.0,
"Juliana Rivas (Cittá) | Lash Lifting, Cílios Fio a Fio e Sobrancelha",21) 99744-9703,21) 99744-9703,https://www.instagram.com/_julianarivas_?igsh=OHJkNGx0Ync5MzRz,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Città America - Av. das Américas, 700 - Bloco 8, Loja 205Q - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100",False,https://www.instagram.com/_julianarivas_?igsh=OHJkNGx0Ync5MzRz,5.0,
TB BEAUTY | Cílios Barra da Tijuca,21) 99237-6515,21) 99237-6515,https://www.instagram.com/tatianebeautyy,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Alm. Júlio de Sá Bierrenbach, 65 - Bloco 4 sala 618 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-028",False,https://www.instagram.com/tatianebeautyy/,5.0,
Cílios e sobrancelhas Aline Motta,21) 99814-2861,5521998142861,https://www.instagram.com/alinemotta.cilios?igsh=YXBlNHE4a3dzcTM0,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Av. Olof Palme, 765 - sala 404 - Barra Olímpica, Rio de Janeiro - RJ, 22783-119",False,https://www.instagram.com/alinemotta.cilios?igsh=YXBlNHE4a3dzcTM0,5.0,
Instituto Renata Benevides,21) 98791-0979,21) 98791-0979,https://www.instagram.com/institutorenatabenevides?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,studio de cílios,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Condomínio Barra Corporate - Av. Embaixador Abelardo Bueno, 1340 - Loja R - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/institutorenatabenevides?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,5.0,
Extensão de Cílios no Rio de Janeiro - Atendimento Barra da Tijuca/Downtown - Barra de Guaratiba - Melhor Cílios do RJ,21) 99281-5066,21) 99281-5066,,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Avenida das Américas 500 Bloco 4 - Sala 237 - Entrada pela portaria F - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100",False,,5.0,
"Juliana Rivas | Lash Lifting, Cílios Fio a Fio e Sobrancelhas",21) 99744-9703,21) 99744-9703,https://instagram.com/_julianarivas_,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Ilha da Gigoia - Alameda Dalton Barreto, 1 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-334",False,https://instagram.com/_julianarivas_,5.0,
Studio Ingridi Klimaschenski-Lash Designer,,,,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Jardim Limeira,"Estr. Aníbal da Mota, 2 - quadra 3 - Jardim Limeira, Belford Roxo - RJ, 26190-083",False,,5.0,
"Gabrielle | Lash designer | Designer de sobrancelhas | Duque de caxias, Sarapuí",21) 98235-7561,21) 98235-7561,https://www.instagram.com/bystudiogabrielle?igsh=MWMwZjFubWg3c3lwcQ==,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Vila Sarapui,"R. Alfredo Backer, 321 - Vila Sarapui, Duque de Caxias - RJ, 25050-290",False,https://www.instagram.com/bystudiogabrielle?igsh=MWMwZjFubWg3c3lwcQ==,5.0,
LORENA LIMA | LASH DESIGN,21) 96502-5349,21) 96502-5349,https://www.instagram.com/lorenalima.lash_?igsh=MTZiYWhzOXNpdGxjMA==,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Campos Eliseos,"R. Clara Nunes - Campos Eliseos, Duque de Caxias - RJ, 25040-673",False,https://www.instagram.com/lorenalima.lash_?igsh=MTZiYWhzOXNpdGxjMA==,5.0,
Ellen Fernandes Lash Designer,,,https://www.instagram.com/ellenf_lashdesigner?igsh=eTlwMGhuN3FnYmRr&utm_source=qr,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Dr. Laureano,"Avenida. Dr - R. Pres. Juscelino Kubitscheck de Oliveira, 765 - Dr. Laureano, Duque de Caxias - RJ, 25060-200",False,https://www.instagram.com/ellenf_lashdesigner?igsh=eTlwMGhuN3FnYmRr&utm_source=qr,5.0,
Be Pretty | Extensão de Cílios | Lash Design,21) 99367-9573,21) 99367-9573,,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Edifício Asia - Av. Ator José Wilker, 605 - Sala 634 - Barra Olímpica, Rio de Janeiro - RJ, 22775-024",False,,5.0,
Studio Lash Design,21) 99487-6993,21) 99487-6993,http://instagram.com/studio.lashdesign,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Tijuca,"Rua - R. Almirante Cochrane, 280 - sala 302 - Tijuca, Rio de Janeiro - RJ, 20550-040",False,http://instagram.com/studio.lashdesign,4.9,
Instituto Renata Benevides,21) 98791-0979,21) 98791-0979,https://www.instagram.com/institutorenatabenevides?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,lash designer,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Condomínio Barra Corporate - Av. Embaixador Abelardo Bueno, 1340 - Loja R - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/institutorenatabenevides?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,5.0,
Spa Barra - Massoterapia e Massage,21) 99586-4532,21) 99586-4532,,,spa,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Lúcio Costa, 5400 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-012",False,,4.9,
Gaya Beauty Head Spa,21) 99937-0109,21) 99937-0109,,,spa,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. das Américas, 7707 - loja 104 - Barra da Tijuca, Rio de Janeiro - RJ, 22703-081",False,,4.5,
ELYSEE BEAUTY & HEAD SPA,21) 99598-9030,21) 99598-9030,https://www.instagram.com/elyseeheadspa?igsh=MW45N3o3ZjI0djR4NA==,,spa,"Barra da Tijuca - Rio de Janeiro, RJ",Barra Olímpica,"Union Square - Av. José Wilker, 600 - Bloco 4 Sala 266 - Barra Olímpica, Rio de Janeiro - RJ, 22775-024",False,https://www.instagram.com/elyseeheadspa?igsh=MW45N3o3ZjI0djR4NA==,4.6,
Restaurante Canto Alegre,21) 2492-1823,,,,restaurante,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Praça Des. Araújo Jorge, S/N - Barra da Tijuca, Rio de Janeiro - RJ, 22611-220",False,,4.7,
Dos Sertões Barra da Tijuca,21) 96978-4835,21) 96978-4835,http://instagram.com/dossertoesrestaurante,,restaurante,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Lúcio Costa, 3460 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-010",False,http://instagram.com/dossertoesrestaurante,4.5,
Pousada dos Colibris na Barra da Tijuca,21) 96649-3918,21) 96649-3918,,,pousada,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Alameda dos Colibris - Barra da Tijuca, Rio de Janeiro - RJ, 22640-338",False,,5.0,
Barra da Tijuca,,,,,pousada,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Di Cavalcanti, 540 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-320",False,,4.8,
Beach Guest House - Go Make A Trip,,,,,hotel boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"R. Levi Carneiro, 443 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-150",False,,4.4,
Pousada Marísis Barra da Tijuca,21) 96876-2658,21) 96876-2658,,,hotel boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"ilha da Gigóia - Alameda dos Colibris, 87 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-338",False,,4.7,
Recanto da Barra da Tijuca,21) 97754-9797,21) 97754-9797,,,hotel boutique,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Alameda Dalton Barreto, 11 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-334",False,,5.0,
Penha e Oliveira Advocacia e Consultoria,21) 96418-2368,21) 96418-2368,https://www.instagram.com/alissa.adv,,advogado,"Barra da Tijuca - Rio de Janeiro, RJ",Barra da Tijuca,"Av. Embaixador Abelardo Bueno, 3500 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040",False,https://www.instagram.com/penhaeoliveira.adv/,4.8,
